course_id,subject,course_number,prereq_subject,prereq_number
161757,INTEGBI,178,BIOLOGY,1B
111066,INTEGBI,184L,BIOLOGY,1B
155322,INTEGBI,95B,BIOLOGY,1B
124410,PLANTBI,C110L,BIOLOGY,1B
166255,NEU,C166,BIOLOGY,1A
123681,PSYCH,C113,BIOLOGY,132
123681,PSYCH,C113,BIOLOGY,138
123681,PSYCH,C113,BIOLOGY,140
123681,PSYCH,C113,BIOLOGY,148
123681,PSYCH,C113,BIOLOGY,160
125782,ITALIAN,101,ITALIAN,4
111342,ITALIAN,102,ITALIAN,4
111389,ITALIAN,2,ITALIAN,1
111520,JAPAN,100A,JAPAN,10
111520,JAPAN,100A,JAPAN,10B
111529,JAPAN,103,JAPAN,100
111529,JAPAN,103,JAPAN,100B
111529,JAPAN,103,JAPAN,100X
111512,JAPAN,10A,JAPAN,1
111512,JAPAN,10A,JAPAN,1B
111534,JAPAN,120,JAPAN,10
111534,JAPAN,120,JAPAN,10B
111556,JAPAN,155,JAPAN,100A
111508,JAPAN,1B,JAPAN,1A
111839,KOREAN,100A,KOREAN,10
111839,KOREAN,100A,KOREAN,10B
111840,KOREAN,100AX,KOREAN,10BX
111843,KOREAN,101,KOREAN,100B
111843,KOREAN,101,KOREAN,100BX
157566,KOREAN,105,KOREAN,100B
157566,KOREAN,105,KOREAN,100BX
111835,KOREAN,10A,KOREAN,1
111835,KOREAN,10A,KOREAN,1B
111845,KOREAN,111,KOREAN,101
111845,KOREAN,111,KOREAN,102
168266,KOREAN,120,KOREAN,10B
168266,KOREAN,120,KOREAN,10BX
111832,KOREAN,1B,KOREAN,1A
167900,KOREAN,5,KOREAN,1A
167900,KOREAN,5,KOREAN,1AX
167900,KOREAN,5,KOREAN,10A
167900,KOREAN,5,KOREAN,10AX
113540,LDARCH,101,LDARCH,1
113542,LDARCH,103,LDARCH,102
113959,LINGUIS,120,LINGUIS,100
114518,MATH,115,MATH,55
156293,MATH,124,MATH,53
156293,MATH,124,MATH,54
