course,requirement_group,option_id,prerequisite
PHYSICS C191A,1,2,MATH 54
PHYSICS C191A,1,3,PHYSICS 89
PHYSICS C191A,2,1,MATH 55
PHYSICS C191A,2,2,PHYSICS 137A
CHINESE 100A,1,1,CHINESE 10
CHINESE 100A,1,2,CHINESE 10B
CHINESE 102,1,1,CHINESE 100B
CHINESE 102,1,2,CHINESE 100XB
CHINESE 10A,1,1,CHINESE 1
CHINESE 10A,1,2,CHINESE 1B
CHINESE 110A,1,1,CHINESE 10
CHINESE 110A,1,2,CHINESE 10B
CHINESE 110A,1,3,CHINESE 10X
CHINESE 110A,1,4,CHINESE 10Y
CHINESE 111,1,1,CHINESE 101
CHINESE 111,1,2,CHINESE 102
CHINESE 134,1,1,CHINESE 110B
CHINESE 156,1,1,CHINESE 100A
CHINESE 156,1,2,CHINESE 100XA
CHINESE 4B,1,1,CHINESE 4A
CHMENG 140,1,1,PHYSICS 7B
CIVENG 100,1,1,ENGIN 7
CIVENG 100,2,1,PHYSICS 7A
CIVENG 100,3,1,MATH 53
CIVENG 11,1,1,CHEM 1A
CIVENG 11,2,1,MATH 51
CIVENG 126,1,1,ENGIN 7
CIVENG 170A,1,1,ENGIN 7
CIVENG 187,1,1,DATA C8
CIVENG 193,1,1,CIVENG 93
CIVENG 70,1,1,CHEM 1A
CIVENG 93,1,1,COMPSCI C8
CIVENG 93,1,2,ENGIN 7
CIVENG 93,1,3,INFO C8
CIVENG 93,1,4,STAT C8
CIVENG C103N,1,1,CHEM 1A
CIVENG C103N,2,1,MATH 51
CIVENG C103N,3,1,MATH 52
CIVENG C103N,4,1,PHYSICS 7A
MECENG C85,1,1,PHYSICS 7A
CMPBIO C176,1,1,COMPSCI 170
CMPBIO C176,1,2,COMPSCI 70
CMPBIO C176,1,3,ELENG 66
CMPBIO C176,1,4,MATH 54
COGSCI 132,1,1,COGSCI 1
COGSCI 132,1,2,COGSCI 1B
COGSCI 132,1,3,COMPSCI 61A
COGSCI 132,2,1,MATH 10A
COGSCI 132,2,2,MATH 16A
COGSCI 132,2,3,MATH 51
COGSCI 132,3,1,MATH 55
COGSCI 146,1,1,COGSCI 1
COGSCI 146,1,2,COGSCI 1B
COGSCI 146,1,3,COGSCI N1
PSYCH C127,1,1,PSYCH 110
PSYCH C127,1,2,PSYCH C120
PSYCH C123,1,1,COGSCI 1
PSYCH C123,1,2,COGSCI 1B
COMPSCI 160,1,1,COMPSCI 61B
COMPSCI 160,1,2,COMPSCI 61BL
COMPSCI 161,1,1,COMPSCI 70
COMPSCI 161,2,1,COMPSCI 61B
COMPSCI 161,3,1,COMPSCI 61C
COMPSCI 162,1,1,COMPSCI 70
COMPSCI 162,2,1,COMPSCI 61B
COMPSCI 162,3,1,COMPSCI 61C
COMPSCI 164,1,1,COMPSCI 61B
COMPSCI 164,2,1,COMPSCI 61C
COMPSCI 168,1,1,COMPSCI 61B
COMPSCI 168,2,1,COMPSCI 61C
COMPSCI 169A,1,1,COMPSCI 47A
COMPSCI 169A,1,2,COMPSCI 61A
COMPSCI 169A,1,3,COMPSCI C88C
COMPSCI 169A,1,4,DATA C88C
COMPSCI 169A,2,1,COMPSCI 47B
COMPSCI 169A,2,2,COMPSCI 61B
COMPSCI 169A,2,3,COMPSCI 61BL
COMPSCI 170,1,1,COMPSCI 70
COMPSCI 170,2,1,COMPSCI 61B
COMPSCI 171,1,1,COMPSCI 70
COMPSCI 172,1,1,COMPSCI 170
COMPSCI 180,1,1,COMPSCI 61B
COMPSCI 180,2,1,MATH 53
COMPSCI 180,3,1,ELENG 66
COMPSCI 180,3,2,MATH 110
COMPSCI 180,3,3,MATH 54
COMPSCI 180,3,4,MATH 56
COMPSCI 180,4,1,COMPSCI 189
COMPSCI 180,4,2,COMPSCI C182
COMPSCI 184,1,1,COMPSCI 61B
COMPSCI 184,2,1,MATH 110
COMPSCI 184,2,2,MATH 54
COMPSCI 186,1,1,COMPSCI 47C
COMPSCI 186,1,2,COMPSCI 61C
COMPSCI 186,2,1,COMPSCI 47C
COMPSCI 188,1,1,COMPSCI 70
COMPSCI 188,2,1,COMPSCI 61A
COMPSCI 188,3,1,COMPSCI 61B
COMPSCI 189,1,1,MATH 54
COMPSCI 189,2,1,MATH 53
COMPSCI 189,3,1,COMPSCI 70
COMPSCI 36,1,1,COMPSCI 61A
COMPSCI 47A,1,1,COMPSCI 61B
COMPSCI 47A,2,1,COMPSCI 9D
COMPSCI 47B,1,1,COMPSCI 9G
COMPSCI 47C,1,1,COMPSCI 9C
COMPSCI 61A,1,1,MATH 10A
COMPSCI 61A,1,2,MATH 16A
COMPSCI 61A,1,3,MATH 1A
COMPSCI 61B,1,1,COMPSCI 61A
COMPSCI 61B,1,2,COMPSCI 88
COMPSCI 61B,1,3,ENGIN 7
DATA C100,1,1,DATA C8
DATA C100,1,2,STAT 20
DATA C100,2,1,COMPSCI 61A
DATA C100,2,2,DATA C88C
DATA C100,2,3,ENGIN 7
DATA C100,3,2,ELENG 66
DATA C100,3,3,MATH 110
DATA C100,3,4,MATH 54
DATA C100,3,5,MATH 56
DATA C100,3,6,PHYSICS 89
DATA C182,1,1,MATH 54
DATA C182,2,1,COMPSCI 61B
DATA C182,3,1,MATH 53
DATA C182,4,1,COMPSCI 70
DATA C182,4,2,STAT 134
DATA C182,5,1,COMPSCI 189
