course_id,subject,course_number,title,description,requirements,academic_career,department,department_nicknames,typically_offered
106965,ENGLISH,98BC,Berkeley Connect in English,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate.Course may be repeated for credit.",,UGRD,English,,
106966,ENGLISH,99,Independent Study,Meetings to be arranged. Reading and regular conference with the instructor in a field that shall not coincide with that of any regular course and shall be specific enough to enable students to write essays based on their studies.,Open to sophomore students with an overall G.P.A. of not less than 3.3. ,UGRD,English,,
106967,ENGLISH,H195A,Honors Course,"H195 is a two-semester course that gives students the training they need to conduct original research and develop their findings into a successful scholarly essay, 40-60 pages in length.","Open only to senior English major honors candidates (i.e., students with an overall GPA of 3.51 or higher and a GPA of 3.65 or higher in courses taken at Berkeley in the major). Consent of instructor is required.


English 100 is prerequisite to the English H195A/B series.",UGRD,English,,
168269,ENGLISH,R17,Introduction to Shakespeare,"English R17 offers an introduction to the study of Shakespeare.  The premise of our class is that Shakespeare's texts are remarkably good to think with—remarkably pleasurable, remarkably productive. The class will give sustained attention to half a dozen major plays, using them to develop a rich set of themes and ideas as the semester unfolds: ideas about beauty and cruelty, performance and nature, citizenship and individuality, companionship and solitude, future and past.  We will also think with Shakespeare about the nature of writing, reading, and performance.English R17 is also an R1B Reading and Composition course. In addition to lecture meetings, you will meet for two hours per week in section.",,UGRD,English,,
107021,ENGLISH,R1A,Reading and Composition,Training in writing expository prose. Instruction in expository writing in conjunction with reading literature. Satisfies the first half of the Reading and Composition requirement.,Satisfaction of the Entry Level Writing Requirement,UGRD,English,,
107023,ENGLISH,R1B,Reading and Composition,Training in writing expository prose. ?n A. Instruction in expository writing in conjunction with reading literature. Satisfies the first half of the Reading and Composition requirement. ?n B. Further instruction in expository writing in conjunction with reading literature. Satisfies the second half of the Reading and Composition requirement.,"Previously passed an R_A course with a letter grade of C- or better.
Previously passed an articulated R_A course with a letter grade of C- or better.
Score a 4 on the Advanced Placement Exam in English Literature and Composition.
Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.
Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English.",UGRD,English,,
107129,ENVDES,1,Introduction to Environmental Design,"This course will teach anyone how to start to be a designer, not just of drawings and objects, but also buildings, landscapes, and urban spaces. And not just in isolation, but in the complex web of ecological and man-made systems which makes up our shifting environment. You will take from the course first-hand experience of drawing, measuring, and design  which form the basis of the professions of architecture, landscape architecture, and urban planning and which culminate in a final design project in the course. The course is open to all undergraduate students.",,UGRD,Inst of Urban & Reg Dev,,
107135,ENVDES,102,Climate Change and City Planning: Adaptation and Resilience,"This course introduces students to major issues in urban resilience and adaptation planning, particularly in relation to anthropogenic climate change. By the end of the course, students will have: (1) a critical understanding of key concepts such as risk, vulnerability, adaptation, and resilience; (2) an understanding of the interaction between adaptation planning, policy, and urban operating systems such as infrastructures, finance, and land use governance; (3) a basic introduction to practical tools such as vulnerability mapping, urban carbon budgeting, and participatory vulnerability assessment. The course will primarily draw on case material from the United States and secondarily from selected international cases.",,UGRD,Inst of Urban & Reg Dev,,
147915,ENVDES,104,Design Frameworks,"This course begins with an open-ended question (“What is design?”) and asks students to think critically about the central tenets, commonalities, and limits of design in an ever-changing complex world. A historical and theoretical overview of predominant schools of thought across all scales of design (i.e. industrialization, modernism, post-modernism, and beyond) will ground the discussions to follow. Topics related to environmental sustainability including industrial ecologies, ecological design principles, lifecycle, biomimicry, LEED and accreditation systems, and closed-loop cycles will be presented.",ENVDES 110.,UGRD,Inst of Urban & Reg Dev,,
160355,ENVDES,11,Designing Sustainability,"This class aims to help you engage with and navigate the resources of the CED, including a broad overview of sustainability in contemporary life. In discussions and guest lectures, we will frame contemporary conversations around sustainability with an emphasis on current dialogues. Guest speakers will share their perspectives about how the discussion of sustainability can and should be framed. You will be introduced to important campus resources and faculty who will assist you in designing your own path through the Sustainable Environmental Design program.",,UGRD,Inst of Urban & Reg Dev,,
160098,ENVDES,131,The Community Design Process,"The Community Design Process will give CED undergraduate students the opportunity to effect change in the Bay Area through direct engagement and mentorship of Bay Area teens. Through a unique partnership with FamFirst Family Foundation, undergraduates will support a new generation of innovative thinkers to create solutions for the future of Oakland and the world. This interdisciplinary course will engage undergraduates in activities that range from curriculum development to direct mentorship, teaching, project planning, project management, and direct engagement with FamFirst teens at the West Oakland Youth Center.

",Please note that there is a formal application process for enrollment in this course.,UGRD,Inst of Urban & Reg Dev,,
107154,ENVDES,195A,Introduction to Methods and Thesis Preparation,"The Senior Thesis in Environmental Design is an advanced research and writing project that presents an original and thorough analysis of a topic of individual interest in architecture, landscape architecture, or urban studies. This class provides an introducion to various methodologies relevant for a senior thesis including qualitative, quantitative, and descriptive research approaches.",,UGRD,Inst of Urban & Reg Dev,,
107155,ENVDES,195B,Thesis Research and Writing,Students taking this class will use it to complete the writing of their thesis under the supervision of a Senior Thesis Advisor. This class will operate as an independent study; faculty with more than one Senior Thesis student may choose to meet them in group sessions.,Environmental Design 195A. ,UGRD,Inst of Urban & Reg Dev,,
125376,ENVDES,199,Supervised Independent Study and Research,Enrollment is restricted by regulations in the General Catalog. Studies developed to meet individual needs.,Must have upper division standing.,UGRD,Inst of Urban & Reg Dev,,
162109,ENVDES,202,Advanced Urban Design Studio,"The advanced urban design studio builds on the conceptual and design skills taught in the introductory studio, adding more complex contexts, sites and programs. The studio will address realistic contemporary urban, suburban, or rural situations requiring innovative solutions. The studio projects will be either sponsored or led by professional firms. Students will undertake in-depth research, understand economic, political, social, and cultural dynamics, investigate challenging sites, and produce creative responses. ",,GRAD,Inst of Urban & Reg Dev,,
107162,ENVDES,252,Thesis Research and Preparation,"Seminar focuses on individual urban design interests, the design and research work that students are pursuing in other courses, and development of thesis or final design projects.",Students must be in the Master of Urban Design program or obtain consent of instructor. ,GRAD,Inst of Urban & Reg Dev,,
168509,ENVDES,290,Topics in Environmental Design,Course examines current topics and issues in the field of environmental design. Topics may vary from year to year and will be announced in preparation for each term.,,GRAD,Inst of Urban & Reg Dev,,
163470,ENVDES,399,Supervised Teaching,Professional courses for prospective teachers. ,Appointment as graduate student instructor.,GRAD,Inst of Urban & Reg Dev,,
